booking;flight;airline
ABC123;AC987;AirCanada
XYZ234;AA123;AmericanAirlines
DEF345;DL456;DeltaAirLines
GHI456;UA789;UnitedAirlines
JKL567;BA321;BritishAirways
MNO678;LH234;Lufthansa
PQR789;AF567;AirFrance
STU890;EK123;Emirates
VWX901;QF456;Qantas
YZA012;TK789;TurkishAirlines
BCD123;EY987;EtihadAirways
EFG234;SQ123;SingaporeAirlines
HIJ345;CX456;CathayPacific
KLM456;JL789;JapanAirlines
NOP567;NH321;AllNipponAirways
PQR678;TK234;TurkishAirlines
STU789;LH567;Lufthansa
UVW890;UA123;UnitedAirlines
XYZ901;EK456;Emirates
ABC012;AF789;AirFrance
DEF123;BA234;BritishAirways
GHI234;AA567;AmericanAirlines
JKL345;DL678;DeltaAirLines
MNO456;AC321;AirCanada
PQR567;EY234;EtihadAirways
STU678;SQ789;SingaporeAirlines
UVW789;TK123;TurkishAirlines
XYZ890;QF234;Qantas
BCD901;CX567;CathayPacific
EFG012;JL678;JapanAirlines
HIJ123;NH789;AllNipponAirways
KLM234;LH123;Lufthansa
NOP345;UA456;UnitedAirlines
PQR456;EK789;Emirates
STU567;AF234;AirFrance
UVW678;BA567;BritishAirways
XYZ789;DL123;DeltaAirLines
ABC890;AA456;AmericanAirlines
DEF901;AC789;AirCanada
GHI012;EY567;EtihadAirways
JKL123;SQ234;SingaporeAirlines
MNO234;TK567;TurkishAirlines
PQR345;QF678;Qantas
STU456;CX789;CathayPacific
UVW567;JL234;JapanAirlines
XYZ678;NH567;AllNipponAirways
ABC789;LH456;Lufthansa
DEF890;UA234;UnitedAirlines
